system_id,artUrl,artTitle,artDate,artPoster,artCatagory,artContent,artComment,e_ip,insertedDate,dataSource
1,https://www.ptt.cc/bbs/Food/M.1652836372.A.108.html,[食記]高雄苓雅-寒軒國際大飯店觀海軒港式飲茶,2022-05-18 09:12:50,Guyinkt,Food,"消費時間：2022年/02月

於寒軒國際飯店的聽海軒有絕佳景色
其中有港點還有大菜如烤鴨可點
100元上下的港點也是意外平價
就來看看到底味道如何呢？

超直白圖文網誌版
https://takeabreak0512.pixnet.net/blog/post/221176737
以下為文字摘錄版

一開始上桌的就是燒味拼盤

感覺超級意外的好吃

因為多年前在寒軒和平店用餐印象並不好

所以今天並沒有太多的期待

但無論是燒雞的柔嫩以及叉燒的味道都蠻不錯的

只是叉燒的外皮沒那樣酥脆還有進步空間


蘿蔔糕上桌的時候已經切好擺好

整個份量感很足加上適度的微焦感

是非常合格也火侯得當的喔!


腸粉價格較高但也比較一般

外皮可以看到比較厚

跟想像中的有一些差別



腐皮捲也是一口氣上桌

不過這一份沒有事先切開就感覺比較原生態

擺盤一下不是更好嗎?



鹹水餃可千萬別錯過


有麻糬般的外皮加上內餡

鹹甜的口味加上有變化的口感讓人滿足



牛肉丸是屬於比較柔軟的口感

不過也因為其中沒有青豆或是改變口感的東西

會覺得比較適合老人家



蝦餃是水準之作

整體餡料飽滿



魚子燒賣就比較一般

甚至可以說是有點雷



鳳爪是來吸收膠質和醬料味道的



鼓汁排骨的蒜味夠

但相對的肉質有點堅韌



另外也點了烤鴨來吃

其中還有蔥可以做搭配


當然也還有麵皮

麵皮比較有厚度可以吃到麵粉的香甜

不過味道上可以說是毫無特色



水煮牛肉

但說真的就是普通

麻辣香有點不足



廣州炒麵則是味道還不錯

酥脆的港式麵加上淋汁就是滿滿的海鮮味


最後還有炸紅豆麻糬當作甜點



要下結論了喔!

整體的味道還是過關

不過在擺盤上可以說是非常的原生

也許也因為這樣可以在價格上比較便宜

是無論享用港點或是大菜都可考慮的餐廳喔!



店家基本資料=>

地址 : 高雄市苓雅區四維三路33號40樓(寒軒國際大飯店)

電話 : 11:30~14:00，17:30~21:00(每天)


",[],39.9.62.22,2022-05-19 01:12:01,ptt
2,https://www.ptt.cc/bbs/Food/M.1652844937.A.6DA.html,[食記]高雄前鎮小吃-前鎮火雞肉飯,2022-05-18 11:35:35,BOSOMGIRL,Food,"餐廳名稱：前鎮火雞肉飯
消費時間：2022年/1月

平日：10:00-14:30/17:00-19:00
周末：10:00-14:30(週日休)
電話：07-7155883
地址：高雄市前鎮區英明一路118號
平均：$40-120/人【無刷卡】
推薦：火雞肉飯、香菇肉燥飯、苦瓜排骨湯",[],220.142.32.179,2022-05-19 01:12:02,ptt
3,https://www.ptt.cc/bbs/Food/M.1652971153.A.07E.html,[食記]獅甲綠豆湯高雄前鎮價格親民且料好實在,2022-05-19 22:39:07,Geiwoyujie,Food,"餐廳名稱：獅甲綠豆湯
   消費時間：2022年/4月
   地址：台灣高雄市前鎮區中山二路42號
   電話：+8867 339 0103
   營業時間：11:00 - 22:30
   每人平均價位：30 TWD
   可否刷卡：否
   有無包廂：無
   推薦菜色：綠豆鮮奶
   官網：無

圖多Blog好讀版
中文:
https://ryokousharoody.blogspot.com/2022/05/shijia-mung-bean-soup.html
2022年4月30日，這天和朋友在台灣高雄市區
我們晚上在鹽埕區看完大港橋旋轉後
打算吃一點涼的甜品
於是便騎著Youbike來到了獅甲綠豆湯

獅甲綠豆湯位於前鎮區中山二路上
距離最近的車站是捷運獅甲站

當天門口有小排隊了一下
雖然不用排很久
不過一直都客人陸陸續續來外帶

獅甲綠豆湯當然是有賣綠豆湯
也有供應豆花和剉冰

外帶的客人一次都買不少
老闆專業且迅速的撈起各種料

這裡的牛奶用的是瑞穗鮮奶
https://imgur.com/0NABZPZ.jpg
我這天點的是一杯小杯的綠豆鮮奶
價錢是30 TWD
而朋友則是點了一杯杏仁花生豆花
價錢也是30 TWD
https://imgur.com/oE7Ssty.jpg
這裡的綠豆湯喝起來涼爽可口
配上牛奶的香濃更是好喝
是炎炎夏日的好夥伴！
https://imgur.com/3GNFAo0.jpg
而這裡的綠豆煮的很剛好
每一顆顆粒都很完整
口感軟而綿密

個人覺得獅甲綠豆湯
價格真的蠻親民的
炎炎夏日路過的話
順手買杯綠豆湯消消暑
可以說是一大享受！
05/19 22:39",[],49.158.77.177,2022-05-20 01:11:59,ptt
4,https://www.ptt.cc/bbs/Food/M.1652974809.A.3C2.html,[徵人]5/2017:30NIBBON一位,2022-05-19 23:40:06,birdhackor,Food,"我原本訂了兩個人的位子要跟朋友一起吃

但朋友今天身體不舒服，若明日沒有改善，「有可能」沒辦法到場

所以要徵求一位高雄在地的網友候補

如果明日我朋友確定不會去，我再通知您前來



因為狀況還不確定，所以需要您明日保持聯絡管道通暢

並且要有可能不能吃到（我朋友決定要去的狀況）的準備

以及要有可能會臨時通知要吃的準備（我朋友在時間快到才確定不能去的狀況）

餐費需自行負擔

NIBBON 通知我確認訂位時表示目前主餐都換成主廚決定

所以對食材的接受程度要大一點，免得到場後發現主餐不能接受（例如鹿肉，乳鴿等）




如果以上條件能接受，且有興趣

請站內信留下聯絡方式（手機與 Line ID）我會直接聯絡您

為了證明我不是來騙個資

附上訂位成功截圖以及朋友對話
https://i.imgur.com/CN7Gjes.png
https://i.imgur.com/jyxNUVb.jpg
https://i.imgur.com/bstwRcd.jpg","[{""cmtStatus"": ""→"", ""cmtPoster"": ""ginsengwolf"", ""cmtContent"": "":噓在哪，可以噓嗎"", ""cmtDate"": ""2022-05-20 01:05:00""}, {""cmtStatus"": ""→"", ""cmtPoster"": ""mouse07"", ""cmtContent"": "":真的有這麼想吃？"", ""cmtDate"": ""2022-05-20 01:27:00""}, {""cmtStatus"": ""→"", ""cmtPoster"": ""iPhone3GS"", ""cmtContent"": "":好慘"", ""cmtDate"": ""2022-05-20 12:01:00""}, {""cmtStatus"": ""→"", ""cmtPoster"": ""saku0317"", ""cmtContent"": "":候補到沒尊嚴"", ""cmtDate"": ""2022-05-21 10:41:00""}]",111.243.44.51,2022-05-20 01:11:59,ptt
5,https://www.ptt.cc/bbs/Food/M.1652974867.A.997.html,[食記]高雄早餐|戴家豆漿~超大顆湯包、蘿蔔絲餅,2022-05-19 23:41:05,starsunny14,Food,"餐廳名稱：戴家豆漿店
   消費時間：2022年/5月
   地址：801高雄市前金區自強一路90號
   電話：(07)251-2088
   營業時間：05:30-11:00
   每人平均價位：35元
   圖文版本：
http://suni.tw/kaohsiung-food7/
說到高雄早餐，朋友一直推薦興隆居湯包，但是看它這一兩年菜單價位的漲幅，

就讓我對它沒什麼興趣，在週邊隨意找到另外一家「戴家豆漿店」，

菜單上的價位看起來合理多了，1972年開立至今，也有將近50年的歷史。


整間店一次大約可以容納20位左右的客人，看起來就像是一包早餐店，

店門口有一個大竹籠，湯包就是在這裡出爐~

檯面上已經擺放許多現成的小點，內用或是外帶的客人都是自行夾取。


蔥油餅 20元

蔥油餅不是蔥抓餅那種薄薄的口感，是如同蝸餅那樣的蔥油餅，

外皮酥脆，內餡也有不少蔥花。


蘿蔔絲餅 20元

跟蔥油餅的形狀類似，如果蔥油餅和蘿蔔絲餅叫我挑一個吃，

那我會選擇蘿蔔絲餅，因為那胡椒的香氣太迷人，蘿蔔絲也鮮甜爽脆。


湯包 16元

超級無敵大的湯包，高雄是不是都流行這樣的早餐XD

比一個拳頭還要大顆，吃完湯包可以很有飽足感，老麵麵皮偏厚，咬起來很有嚼勁，

湯包內的確有湯汁，但是湯汁不多，豬肉餡料Q彈鮮甜，我們都覺得滿好吃，

但其實感覺有點像是豬肉包子。
",[],1.200.254.120,2022-05-20 01:11:59,ptt
6,https://www.ptt.cc/bbs/Food/M.1653030827.A.7B6.html,[食記]高雄楠梓-咱等早午餐雙肉炒拉麵,2022-05-20 15:13:41,ajay81104,Food,"咱等早午餐
   消費時間：2022年2月12日
   地址：高雄市楠梓區藍田路1066號
   營業時間：06：00～14：00
   電話：(07)364-9863
   餐點價格：嫩煎雞腿拼盤139元、雙肉炒拉麵99元、麥香紅茶鮮奶30元
   交通資訊：捷運「左營站」轉乘公車245路於「援中國小站」下車

   圖文網誌：
https://ajay.com.tw/letswait35/
－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-1.jpg
最近高雄大學一帶的餐廳還真是越來越多了呢！常在這邊走跳的我也自然的記下了幾間看
起來不錯店，像這間「咱等早午餐」便是其中一家，雖然是常見的「拼盤早午餐」店，但
他們還有販售「炒拉麵」這種食物，就引起了我的興趣。
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-2.jpg
「咱等早午餐」位於楠梓區藍田路上，這一帶叫做援中港，不管你是要去蚵仔寮漁港、右
昌、加工區都非常方便，這裡也是重劃區，附近以住宅、文教區為主，最近台積電即將進
駐楠梓，資源豐富、未來可期，也因此吸引了不少新興家庭移入。
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-3.jpg
「咱等」就是台語的「早餐」，不用唸得還真的不知道是什麼意思。店面看起來是文青風
格，兼具廚房及外帶的區域。內用空間則相當寬敞，桌數多但保有一定距離，在這個疫情
時期也稍微安心點。
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-4.jpg
(最近有漲價，請以現場價格為主)
菜單就如常見的西式早餐店，有各種口味漢堡、蛋餅、吐司、點心、飲料，另外還有早午
餐「拼盤」，以及前面提到的「炒拉麵」，品項算是蠻多的，更特別的是還有「狗狗鮮食
」，也就是說這邊是可以帶上毛小孩一起來用餐的。

[飲料]
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-5.jpg
拼盤本身就會附上中杯「紅茶」，另外我們還加點了一杯「麥香紅茶鮮奶」，甜度可以選
微糖或無糖，味道都是常見的早餐店風味。

[雙肉炒拉麵]
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-6.jpg
首先是「雙肉炒拉麵」，裡面的雙肉是可以選擇的，我選了「燒肉」及「炸豬排」，炒拉
麵其實就是泡麵(維力媽媽拉麵)，另外還有荷包蛋、青花椰菜、玉米筍、蟹味棒(?)等配
料，感覺很奇妙呢！很有大學生時期學餐的感覺。
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-7.jpg
我本身算蠻喜歡吃泡麵的麵條，稍微拌點醬汁就會很美味，不過若是期待他是印象中的拉
麵的人就會有落差，肉類及配料雖然都像是速成品，但也都調理得還不錯，我個人是認為
蟹味棒的存在有點奇怪，整體搭不搭就見仁見智了。

[嫩煎雞腿拼盤]
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-8.jpg
「嫩煎雞腿拼盤」內容物有主餐的「嫩煎雞腿排」，以及薯條、薯泥球、培根、水果，份
量上屬於迷你板的早午餐拼盤，把生菜沙拉換成了薯條，也同樣很有學生餐廳的風格呢！
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-9.jpg
主餐的雞腿排煎得很好，表皮酥脆、肉質軟嫩，灑點胡椒調味就非常好吃，其他的餐點就
同樣也偏向速成品，起鍋時間掌握好味道就不會差，整體來說少了均衡的生菜沙拉外，其
他都還不錯，不過輕食沙拉還是可以點的，需要的就加點一份，價格也不貴。
https://ajay.com.tw/wp-content/uploads/2022/05/letswait35-10.jpg
今天首次在「咱等早午餐」吃飯，味道中規中矩，讓人有回到學生時期的感覺，空間倒是
乾淨舒適，不會如學餐的髒亂吵雜，出餐迅速，算是在外吃早餐很不錯的地點，看起來是
寵物餐廳，但今天沒有看到有顧客帶寵物來用餐，也給大家參考看看囉！",[],114.33.158.34,2022-05-21 01:12:08,ptt
7,https://www.ptt.cc/bbs/Food/M.1653048364.A.A4F.html,[食記]高雄三民小吃24小時-曾家莊手工饅頭,2022-05-20 20:06:02,BOSOMGIRL,Food,"餐廳名稱：曾家莊手工饅頭
消費時間：2022年/1月

營業：24小時營業
電話：07-3800597
地址：高雄市三民區建工路706號
平均：$60-80/人【無刷卡】
推薦：奶皇包、鮮奶豆漿",[],220.142.32.179,2022-05-21 01:12:08,ptt
8,https://www.ptt.cc/bbs/Food/M.1653144515.A.2FE.html,[食記]林天生肉燥飯高雄鳳山肉燥飯+鹹菜鴨湯,2022-05-21 22:48:31,Geiwoyujie,Food,"餐廳名稱：林天生肉燥飯
   消費時間：2022年/5月
   地址：台灣高雄市鳳山區中華街42號
   電話：+8867 743 2287
   營業時間：09:30 - 20:30
   每人平均價位：115 TWD
   可否刷卡：否
   有無包廂：無
   推薦菜色：肉燥飯/鹹菜鴨湯/乾鴨血/下水拌豆芽
   官網：無

圖多Blog好讀版
中文:
https://reurl.cc/8oXopb
2022年5月1日，這天是拜訪朋友新家的第三天
我們早上參觀完台灣高雄鳳山的鳳儀書院
便順便走到中華街一帶吃午餐

我們來到了林天生肉燥飯
距離最近的車站則是捷運鳳山站
另外也離鳳山火車站不遠

這裡外帶和內用點餐的地方是分開的
有專門負責外帶點餐的地方

我們則是選擇了內用
時間還不到中午十二點
店內已經有不少客人
不過還沒坐滿

林天生肉燥飯主要賣的是
肉燥飯和雞肉飯等飯類
也有不少湯品和小菜可以選擇

我自己則是點了一碗肉燥飯，35 TWD
以及一份鹹菜鴨湯，45 TWD
https://imgur.com/4vvJKkt.jpg
我們還一起點了些菜來Share
乾鴨血，30 TWD
下水拌豆芽，50 TWD
油豆腐，16 TWD
https://imgur.com/zSUaqh2.jpg
首先是這個鹹菜鴨湯
是以小盅裝成的湯

湯上面有不少薑絲
喝起來非常酸香開胃
裡面的鴨肉和鹹菜
皆已經燉到了軟爛的程度
吃起來有種入口即化的感覺
https://imgur.com/FxjYIDK.jpg
肉燥飯上的肉燥看起來肥瘦都有
約莫是一半一半的
還搭配上醃漬成黃色的蘿蔔

肉燥搭配白飯吃起來
香黏可口且肥瘦適中
甜鹹之間的平衡也恰到好處
再搭配一片醃蘿蔔的轉味和解油膩
吃起來更加舒服

而鴨血則是鴨米血
不是那種麻辣鍋中像布丁的鴨血

這裡的鴨米血米感很紮實
米粒口感很突顯
配上醬油感和甜辣醬以及薑絲
吃起來蠻對味的

油豆腐滷的很入味
吃起來鹹香味美且裡面白嫩

下水拌豆芽下面有蠻多豆芽的
上面下水的部份
則似乎由鴨腸和鴨胗組成
最上面還有油蔥酥點綴
下水吃起來爽脆可口
配上豆芽菜的清爽和油蔥酥的香氣
真的讓人難以停下

而朋友的當歸鴨湯
似乎聞起來也是蠻香的
看起來似乎是蠻料好實在的

聽說林天生肉燥飯是鳳山當地的老店
已經開業超過30年
價錢不算太貴而且食物蠻不錯的
個人還蠻喜歡鹹菜鴨湯的酸香
配上一碗香黏的肉燥飯
小菜也是蠻有品質的！
感覺下次有機會再來
可以挑戰一下豬腦髓湯
05/21 22:48",[],49.158.77.177,2022-05-22 01:12:10,ptt
9,https://www.ptt.cc/bbs/Food/M.1653210569.A.241.html,[廣宣]高雄小林食堂-499松阪豬美國牛吃到飽,2022-05-22 17:09:25,vhygdih,Food,"店名：小林食堂

     地址：高雄市鼓山區南屏路579號
     電話：07- 5223758
     試吃日期：2021/04



完整圖文:
https://vhygdih0412.pixnet.net/blog/post/354898429
從文化中心起家的小林食堂
搬到農16這邊後擴大經營
從以前的定食, 壽喜燒
現在全新推出燒肉吃到飽方案
499 就可以享用國產松阪豬,
美國Choice牛肉
加價200元就有海鮮選擇,
像是大草蝦帆立貝 , 一夜乾等
跟現在市面上燒肉吃到飽比較
真的是平價好料盡出,
延長營業到晚上11點
9點半進場吃宵夜都沒問題 ~


燒肉吃到飽部分在店家2樓供餐
有提供獨立的抽風系統
採用桌上型碳爐
環境還蠻不錯的,
也有一點後方公園景觀


環境明亮抽風好外,
採用點餐方式現點現切肉品
兩個價位分別是499跟699
499就可以吃的很不錯,
699直接升級到海陸菜單
基本款就有美國choice牛肉, 松阪豬
用餐時間90分鐘算是足夠~



自助吧有提供兩種飯
分別是白飯咖哩飯,
可以自行拿取手工烏龍麵
或者是柴魚野菇飯
還有提供當季燒烤蔬菜自取, 軟性飲料等
餐後甜點是提供小美冰淇淋~



今天我們方案是699海陸方案
真的吃的豐盛又很飽足,
直接放滿滿滿一桌,
趕快來看看我們今天吃了什麼好料吧~


現在很多新的燒肉店都會改成瓦斯爐,
小林食堂老闆堅持要使用木炭
採用日本燒烤爐下方有進氣孔加上抽風機循環
吃起來會有較突出炭香味,
喜歡炭爐朋友千萬不要錯過~


Choice 美國雪花牛

這邊基本款式牛肉
都是採用美國 Choice等級牛肉,
厚切油花比例中等偏高,
很適合喜歡高油脂肉品朋友~


美國翼板牛

加價項目的翼板牛肉,平均油香也突出
完全就是品嚐美國牛獨特香氣最棒部位
而且還非常適合烤肉


美國霜降牛肉

霜降部分提供了均衡又漂亮的油花
非常不錯可以多吃的選擇~


牛舌

699特別加碼的牛舌,
獨特彈性很適合搭配油蔥
699就可以吃到牛舌真的是很划算


國產菲力豬

豬肉部份有非常不錯部位選擇
堅持採用國產豬肉 , 確保品質
菲力豬帶有彈性又不油膩


卜蜂雞翅

雞肉部分敢標示使用國產卜蜂,
口感上比很多吃到飽的美國雞肉來得更扎實
也可以放心的享用
直接炭火烤雞翅~


國產五花豬

豬肉比較高油脂部分
吃起來的口感爽脆,
適合烤比較焦來享用


國產松阪豬

直接大塊松阪豬肉條,
油脂分佈均勻
吃起來有彈性香氣十足,
這在499裡就可以享用的到~


採厚切松阪豬

吃起來不太輸美國牛肋條
對於不能吃牛的朋友來說絕對是大推薦


美國牛肋條

吃到飽有牛肋條對我來說大加分
烤到大概5分熟有點脆彈口感,
品質非常不錯,
不會有筋多到很難咀嚼狀況~



美國牛小排

屬於699項目的牛小排
口感出乎意料軟嫩 , 小排有風味
外面隨便吃個兩片六節就要300以上
推薦可以多吃哈哈~


大草蝦

飽滿新鮮的草蝦
很少在吃到飽看到這麼新鮮又大隻
烤起來香甜不黏殼 ,
連我自己沒有非常喜歡吃蝦子
也覺得很優秀


鯖魚一夜干

一夜干過後的鯖魚
別有風味稍微鹽烤一下就很好吃
而且直接給一整隻超霸氣


生蠔 扇貝

可以連鐵板一起烤
避免水掉落爐子裡面降溫
急凍生蠔口感很鮮甜
扇貝同樣採急冷凍
每顆口感還原飽滿水份
不會烤得很乾蠻推薦的~



鯛魚片

無骨的鯛魚片
清肉吃起來 口感清爽


炭火烤肉肉香突出
真的比瓦斯爐優秀很多
爐火溫度穩定面積還蠻大的
烤的速度也不會太慢
像大塊肉也顯得很便利~


喜歡炭香烤肉
真的很推薦要來體驗看看
小林食堂最新的燒肉方案
499 可以吃到Choice牛肉
松阪豬真的蠻划算的
有生蠔大草蝦翼般牛肉的方案
也只需要多200元,
趕快跟朋友約起來吧ﴊ",[],111.185.219.153,2022-05-23 01:12:06,ptt
10,https://www.ptt.cc/bbs/Food/M.1653287940.A.C33.html,[食記]高雄前金｜外帶一隻貓MIAOTOGO,2022-05-23 14:38:57,syuanfeng,Food,"餐廳名稱：外帶一隻貓MIAO TO GO
   消費時間：2022年5月
   地址：801高雄市前金區文武二街35號
   電話：（07）261-2066
   營業時間：11:00~18:00（店休日請看官方臉書公告）
   每人平均價位：100元～200元
   有無包廂：有
——
完整圖文版：
https://after-sleep.com/miao-to-go/
——
https://imgur.com/m1Tzbg8.jpg
之前就有跟朋友來訪過這家充滿貓貓的咖啡廳了，對於家裡有養貓的我來說，只要看到跟
貓有關的店家或商品就會毫無招架之力了呀～這天則是帶著先生一起來這裡喝咖啡兼擼貓
了
https://imgur.com/XZzNHCO.jpg
外帶一隻貓 Miao To GO位於前金區文武二街，其實就中央公園靠近大立百貨這邊的巷弄
中，看到水泥灰外觀的三角窗店家就是了
https://imgur.com/7mByuoG.jpg
先附上菜單給各位參考，除了咖啡、茶類等飲料之外，這裡也有提供吐司、輕食、炸物及
主食類等餐點，價位對我們來說算是中等，不過這天只是來這裡工作、看貓跟喝飲料而已
，所以就沒點主食或吐司了
https://imgur.com/YeYL9xC.jpg
https://imgur.com/SeXwdgJ.jpg
https://imgur.com/egVMhyF.jpg
店外就有許多充滿貓貓意象的東西了，那個貓貓側身形狀的櫃子真的超可愛。另外店外也
有一些座位可以坐，如果店內沒位置的話，可以先跟店員說坐在室外再等裡面客人走
https://imgur.com/YIAXWAi.jpg
https://imgur.com/uDRIt81.jpg
走進店內首先會注意的應該不是裝潢或餐點，而是到處都有可愛的貓貓啊！店內共養了6
隻貓，在牆上有附上拍立得相片介紹他們，店員有特別提醒，這裡的貓貓可以輕輕地摸摸
他們，但不可以抱唷！

我們來的時候其實只看到其中四隻貓，都蠻親人的，甚至還跑到其他顧客的鍵盤上趴著睡
覺XD（那位顧客看起來並不介意），真的很可愛
https://imgur.com/AXirTXs.jpg
https://imgur.com/Qvm54Hv.jpg
店內的座位其實不多，我們在來訪前的早上是有先訂位的，不然現場應該是要等一段時間
才有辦法在室內入座了，所以建議大家要來的話也可以先訂位喔
https://imgur.com/uh0kqSr.jpg
餐點的部分，我們只點了兩杯飲料跟一份點心，畢竟只是來看貓兼工作的，所以只能跟大
家分享部分的餐點了
https://imgur.com/SJvEjN0.jpg
首先上來的是冰磚咖啡，最近嚐過了啡嚐挑剔CHOOSY GOURMET的熊貓冰磚以及海山咖啡的
冰磚咖啡，想說再點這裡的來比較看看吧這裡很貼心地把咖啡液、牛奶跟糖漿分開盛
裝，讓大家可以自己決定比例與要不要加糖，咖啡的部分稍帶一些苦味，但整體來說是挺
好喝的
https://imgur.com/1tiAKeU.jpg
拿鐵喝起來中規中矩，咖啡一樣稍微帶有苦味，但牛奶與咖啡的比例適中，尚可接受
https://imgur.com/DsoQ92m.jpg
再來是外型可愛的肉球小蛋糕，上桌時還帶著一些微熱，吃起來有點像是更扎實的雞蛋糕
口感，還算不錯吃，但份量稍微少一些
https://imgur.com/BGPHci4.jpg
https://imgur.com/1GYbbQp.jpg
https://imgur.com/JLlQGc1.jpg
吃完點心後，可以在店內稍微看一下這邊販售的一些商品，全部都是跟貓貓有關的擺飾或
小物，如果自己家裡也有養貓的話，也可看看這邊的貓咪用品
https://imgur.com/bXcpU1K.jpg
https://imgur.com/dRGVAmn.jpg
在樓下的洗手間旁邊，還有一間「阿喵樂園」的小包廂可以租借使用，有興趣的朋友可以
看一下場地使用規則並提前預約唷
https://imgur.com/cOB7de3.jpg
https://imgur.com/W4iJdat.jpg
一旁也有展示一些像是外出籠、貓抓板或逗貓棒等等貓奴必備的用品，有興趣的話可以在
樓下看一下，再跟店員洽詢商品如何購買喔
https://imgur.com/ZVLsuud.jpg
總體來說，外帶一隻貓真的是一間很適合跟我們一樣喜愛貓貓的顧客來訪，除了可以吃到
不錯的餐點與飲料外，也有好多親人的店貓可以陪你一起喝咖啡，推薦給大家囉～","[{""cmtStatus"": ""推"", ""cmtPoster"": ""Miniscus"", ""cmtContent"": "":菜單裝潢都好棒，有機會要去看看!"", ""cmtDate"": ""2022-05-23 15:04:00""}]",124.218.69.179,2022-05-24 01:12:12,ptt
